event_id,event_family,reference_period,actual_release_at_utc,actual_initial,consensus_value,point_in_time_quality
1663e2d07ea40f82d6cd489d,us_core_cpi,2014-09,2014-10-09T13:30:00Z,238.841,,missing
fe64a8b5eadcabc6832bbf86,us_core_cpi,2014-08,2014-09-08T13:30:00Z,238.296,,missing
eef79975d68798b3615d24b0,us_core_cpi,2014-07,2014-08-07T13:30:00Z,238.138,,missing
9a06c1c813d1142397168bf5,us_core_cpi,2014-06,2014-07-06T13:30:00Z,238.157,,missing
2758f26cf2c287964da7fb16,us_core_cpi,2014-05,2014-06-05T13:30:00Z,238.029,,missing
3d28701aeefa25bdb8b93d6d,us_core_cpi,2014-04,2014-05-04T13:30:00Z,237.509,,missing
3e31938b229c33eed11dc9eb,us_core_cpi,2014-03,2014-04-03T13:30:00Z,236.913,,missing
515f518b894c0ce6d15a57f4,us_core_cpi,2014-02,2014-03-02T13:30:00Z,236.075,,missing
2879b53d1bf4c3e0dfb39aa3,us_core_cpi,2014-01,2014-02-01T13:30:00Z,235.367,,missing
8592bca97d8958c99654dafd,us_core_cpi,2013-12,2014-01-12T13:30:00Z,235.0,,missing
883b3285474e6fa508c4eba9,us_core_cpi,2013-11,2013-12-11T13:30:00Z,235.243,,missing
dedd6ce9dab16af8ef4311e1,us_core_cpi,2013-10,2013-11-10T13:30:00Z,235.162,,missing
27fdac40617f1e47c1b461f2,us_core_cpi,2013-09,2013-10-09T13:30:00Z,234.782,,missing
730ad2ee14e0dcaf2b0192c1,us_core_cpi,2013-08,2013-09-08T13:30:00Z,234.258,,missing
38ec88d26e7450676aef2225,us_core_cpi,2013-07,2013-08-07T13:30:00Z,233.792,,missing
33911345b471eeed09a0d655,us_core_cpi,2013-06,2013-07-06T13:30:00Z,233.64,,missing
6960fbaca1061f67d2879654,us_core_cpi,2013-05,2013-06-05T13:30:00Z,233.462,,missing
c8598ca50d9c8b133d70d5e5,us_core_cpi,2013-04,2013-05-04T13:30:00Z,233.236,,missing
f0579676cfaca49ec699a7b6,us_core_cpi,2013-03,2013-04-03T13:30:00Z,233.052,,missing
b7c824a901d6e4759fe60e35,us_core_cpi,2013-02,2013-03-02T13:30:00Z,232.432,,missing
eff4fedfbef4201d2bba575f,us_core_cpi,2013-01,2013-02-01T13:30:00Z,231.612,,missing
4d42ba9384d6d99363278324,us_core_cpi,2012-12,2013-01-12T13:30:00Z,231.033,,missing
d26b91bc2b83bdb7470bfa92,us_core_cpi,2012-11,2012-12-11T13:30:00Z,231.263,,missing
1b295913e1e83d0885c64067,us_core_cpi,2012-10,2012-11-10T13:30:00Z,231.276,,missing
7147093496095fc292db4681,us_core_cpi,2012-09,2012-10-09T13:30:00Z,230.78,,missing
f9d7a24ebe39dcf54023e208,us_core_cpi,2012-08,2012-09-08T13:30:00Z,230.196,,missing
48479a8f7a89d7abec6c8079,us_core_cpi,2012-07,2012-08-07T13:30:00Z,229.893,,missing
e2044156cb84664f72816816,us_core_cpi,2012-06,2012-07-06T13:30:00Z,229.879,,missing
b983f77675d04cc74b640484,us_core_cpi,2012-05,2012-06-05T13:30:00Z,229.602,,missing
8e0ed83bcf4a0b9e3c9070be,us_core_cpi,2012-04,2012-05-04T13:30:00Z,229.303,,missing
b33762a7fbfba82c810a99e2,us_core_cpi,2012-03,2012-04-03T13:30:00Z,228.735,,missing
77be0b54d43237e4e39efc5f,us_core_cpi,2012-02,2012-03-02T13:30:00Z,227.865,,missing
f3dfd58a96d6c7e16b0dea83,us_core_cpi,2012-01,2012-02-01T13:30:00Z,227.237,,missing
10cb474675dec1cabb809c0a,us_core_cpi,2011-12,2012-01-12T13:30:00Z,226.74,,missing
e11e220bccf7c86835e93de6,us_core_cpi,2011-11,2011-12-11T13:30:00Z,226.859,,missing
fbd5f89327d787f88824855f,us_core_cpi,2011-10,2011-11-10T13:30:00Z,226.743,,missing
08917a80ea2b2d867903d9c4,us_core_cpi,2011-09,2011-10-09T13:30:00Z,226.289,,missing
3c3b719cd0ff656b1d79ea8e,us_core_cpi,2011-08,2011-09-08T13:30:00Z,225.874,,missing
c6c060f8226e4fc21b2ef580,us_core_cpi,2011-07,2011-08-07T13:30:00Z,225.164,,missing
a5c8c2eeb3b56c1d4d64de75,us_core_cpi,2011-06,2011-07-06T13:30:00Z,224.891,,missing
